AE SCR 2CFC20 ALARM:6854:-:Average:900;AESCR_ALARM_AVERAGE
AE1 ENG SPEED BACK U:1747:RPM:Average:900;testAE1 ENG SPEED BACK U:1747:RPM:Average:900
AE1 ENG SPEED:1745:RPM:Average:3600;testAE1 ENG SPEED:1745:RPM:Average:3600
AE1 ENG SPEED:1745:RPM:Average:900;testAE1 ENG SPEED:1745:RPM:Average:900
AE1 ENG SPEED:1745:RPM:Raw data:900;testAE1 ENG SPEED:1745:RPM:Raw data:900
AE1 ENG SPEED:1746:-:Average:900;testAE1 ENG SPEED:1746:-:Average:900
AE1 EXH CA INLET 1:1541:  C:Average:900;testAE1 EXH CA INLET 1:1541:  C:Average:900
AE1 EXH CA INLET 2:1542:  C:Average:900;testAE1 EXH CA INLET 2:1542:  C:Average:900
AE1 EXH CA OUTET 1:1543:  C:Average:900;testAE1 EXH CA OUTET 1:1543:  C:Average:900
AE1 EXH G AFT CYL A1:1592:  C:Average:900;testAE1 EXH G AFT CYL A1:1592:  C:Average:900
AE1 EXH G AFT CYL A2:1593:  C:Average:900;testAE1 EXH G AFT CYL A2:1593:  C:Average:900
AE1 EXH G AFT CYL A3:1594:  C:Average:900;testAE1 EXH G AFT CYL A3:1594:  C:Average:900
AE1 EXH G AFT CYL A4:1595:  C:Average:900;testAE1 EXH G AFT CYL A4:1595:  C:Average:900
AE1 EXH G AFT CYL A5:1596:  C:Average:900;testAE1 EXH G AFT CYL A5:1596:  C:Average:900
AE1 EXH G AFT CYL A6:1597:  C:Average:900;testAE1 EXH G AFT CYL A6:1597:  C:Average:900
AE1 EXH MEAN VALUE:1591:  C:Average:3600;testAE1 EXH MEAN VALUE:1591:  C:Average:3600
AE1 EXH MEAN VALUE:1591:  C:Average:900;testAE1 EXH MEAN VALUE:1591:  C:Average:900
AE1 EXH MEAN VALUE:1591:  C:Raw data:900;testAE1 EXH MEAN VALUE:1591:  C:Raw data:900
AE1 FO DIRTY OIL FLY:1602:-:Average:900;testAE1 FO DIRTY OIL FLY:1602:-:Average:900
AE1 FO INJECTION PIP:1601:-:Average:900;testAE1 FO INJECTION PIP:1601:-:Average:900
AE1 FO INLET PRESS:1603:Bar:Average:900;testAE1 FO INLET PRESS:1603:Bar:Average:900
AE1 FO INLET TEMP:1605:  C:Average:900;testAE1 FO INLET TEMP:1605:  C:Average:900
AE1 FREQUENCY:5512:Hz:Average:900;testAE1 FREQUENCY:5512:Hz:Average:900
AE1 FUEL RACK POSIT:1742:mm:Average:3600;testAE1 FUEL RACK POSIT:1742:mm:Average:3600
AE1 FUEL RACK POSIT:1742:mm:Average:900;testAE1 FUEL RACK POSIT:1742:mm:Average:900
AE1 FUEL RACK POSIT:1742:mm:Raw data:900;testAE1 FUEL RACK POSIT:1742:mm:Raw data:900
AE1 HT CAC OTL TEMP:1644:  C:Average:900;testAE1 HT CAC OTL TEMP:1644:  C:Average:900
AE1 HT INLET PRESS:1631:Bar:Average:900;testAE1 HT INLET PRESS:1631:Bar:Average:900
AE1 HT INLET TEMP:1635:  C:Average:900;testAE1 HT INLET TEMP:1635:  C:Average:900
AE1 HT OUTLET TEMP:1637:  C:Average:900;testAE1 HT OUTLET TEMP:1637:  C:Average:900
AE1 HT OUTLET TEMP:1637_S:C:Average:900;testAE1 HT OUTLET TEMP:1637_S:C:Average:900
AE1 HT OUTLET TEMP:1639:-:Average:900;testAE1 HT OUTLET TEMP:1639:-:Average:900
AE1 HT OUTLET TEMP:1641:  C:Average:900;testAE1 HT OUTLET TEMP:1641:  C:Average:900
AE1 HT OUTLET TEMP:1643:-:Average:900;testAE1 HT OUTLET TEMP:1643:-:Average:900
AE1 LO BACKUP PRESS:1756:-:Average:900;testAE1 LO BACKUP PRESS:1756:-:Average:900
AE1 LO INLET PRESS:1612:Bar:Average:900;testAE1 LO INLET PRESS:1612:Bar:Average:900
AE1 LO INLET PRESS:1614:-:Average:900;testAE1 LO INLET PRESS:1614:-:Average:900
AE1 LO INLET TEMP:1617:  C:Average:900;testAE1 LO INLET TEMP:1617:  C:Average:900
AE1 LO LEVEL:1611:-:Average:900;testAE1 LO LEVEL:1611:-:Average:900
AE1 LO PRESS FILTER:1615:Bar:Average:900;testAE1 LO PRESS FILTER:1615:Bar:Average:900
AE1 LO PRESS FILTER:1616:Bar:Average:900;testAE1 LO PRESS FILTER:1616:Bar:Average:900
AE1 LO TEMP LOC INL:1619:  C:Average:900;testAE1 LO TEMP LOC INL:1619:  C:Average:900
AE1 LT CAC INL TEMP:1645:  C:Average:900;testAE1 LT CAC INL TEMP:1645:  C:Average:900
AE1 LT CAC INLET PRE:1633:Bar:Average:900;testAE1 LT CAC INLET PRE:1633:Bar:Average:900
AE1 LT CAC OTL TEMP:1647:  C:Average:900;testAE1 LT CAC OTL TEMP:1647:  C:Average:900
AE1 LT LOC OTL TEMP:1648:  C:Average:900;testAE1 LT LOC OTL TEMP:1648:  C:Average:900
AE1 POWER:5513:kW:Average:900;testAE1 POWER:5513:kW:Average:900
AE1 RUN HOURS (1-999:1752:nan:Average:900;testAE1 RUN HOURS (1-999:1752:nan:Average:900
AE1 RUN HOURS (>1000:1753:nan:Average:900;testAE1 RUN HOURS (>1000:1753:nan:Average:900
AE1 RUNNING:15004:-:Average:3600;testAE1 RUNNING:15004:-:Average:3600
AE1 RUNNING:15004:-:Raw data:900;testAE1 RUNNING:15004:-:Raw data:900
AE1 RUNNING:1769:-:Average:3600;testAE1 RUNNING:1769:-:Average:3600
AE1 RUNNING:1769:-:Raw data:900;testAE1 RUNNING:1769:-:Raw data:900
AE1 SCR CF54 RED AG:1941:l/h:Average:900;testAE1 SCR CF54 RED AG:1941:l/h:Average:900
AE1 SCR CP153 COMP A:1918:-:Average:900;testAE1 SCR CP153 COMP A:1918:-:Average:900
AE1 SCR CP154 COMP A:1917:-:Average:900;testAE1 SCR CP154 COMP A:1917:-:Average:900
AE1 SCR CP53 RED AG:1942:bar:Average:900;testAE1 SCR CP53 RED AG:1942:bar:Average:900
AE1 SCR CP58 DIFF PR:1938:mbar:Average:900;testAE1 SCR CP58 DIFF PR:1938:mbar:Average:900
AE1 SCR CT55 TEMP IN:1939:C:Average:900;testAE1 SCR CT55 TEMP IN:1939:C:Average:900
AE1 SCR CT56 TEMP OT:1940:C:Average:900;testAE1 SCR CT56 TEMP OT:1940:C:Average:900
AE1 SCR FUSE FAULT:1946:-:Average:900;testAE1 SCR FUSE FAULT:1946:-:Average:900
AE1 SCR GAS SAMPLE L:1922:-:Average:900;testAE1 SCR GAS SAMPLE L:1922:-:Average:900
AE1 SCR GAS SAMPLE P:1921:-:Average:900;testAE1 SCR GAS SAMPLE P:1921:-:Average:900
AE1 SCR LOAD SIGNAL:1923:-:Average:900;testAE1 SCR LOAD SIGNAL:1923:-:Average:900
AE1 SCR NOX LEVEL:1944:ppm:Average:900;testAE1 SCR NOX LEVEL:1944:ppm:Average:900
AE1 SCR NOX LEVEL:1944CALC:g/kWh:Average:900;testAE1 SCR NOX LEVEL:1944CALC:g/kWh:Average:900
AE1 START AIR PRESS:1621:Bar:Average:900;testAE1 START AIR PRESS:1621:Bar:Average:900
AE1 TC SPEED:1748:RPM:Average:3600;testAE1 TC SPEED:1748:RPM:Average:3600
AE1 TC SPEED:1748:RPM:Average:900;testAE1 TC SPEED:1748:RPM:Average:900
AE1 TC SPEED:1748:RPM:Raw data:900;testAE1 TC SPEED:1748:RPM:Raw data:900
