2018-01-09 11:38:03.013438

Index:497 ;Name: HFO-TANK_STOR_T_22S ;Relation: NONE ;Value: NONE ;Var: NONE ;High: 70 ;Low: 5 ;Values filtered: 3 ;Absolute sum: 35.934067726135254 ;Average/point: 11.9780225754
Index:499 ;Name: HFO-TANK_STOR_T_23P ;Relation: NONE ;Value: NONE ;Var: NONE ;High: 70 ;Low: 5 ;Values filtered: 3 ;Absolute sum: 160.76922988891602 ;Average/point: 53.5897432963
Index:501 ;Name: HFO-TANK_STOR_T_22S ;Relation: NONE ;Value: NONE ;Var: NONE ;High: 70 ;Low: 5 ;Values filtered: 3 ;Absolute sum: 161.20878982543942 ;Average/point: 53.7362632751
Index:517 ;Name: ER-AFT_AIR_T_ ;Relation: NONE ;Value: NONE ;Var: NONE ;High: 45 ;Low: 10 ;Values filtered: 3 ;Absolute sum: 91.35989427566528 ;Average/point: 30.4532980919
Index:518 ;Name: ER-FWD_AIR_T_ ;Relation: NONE ;Value: NONE ;Var: NONE ;High: 45 ;Low: 10 ;Values filtered: 3 ;Absolute sum: 84.61538505554199 ;Average/point: 28.2051283518
Index:519 ;Name: ER_AIR_T_ ;Relation: NONE ;Value: NONE ;Var: NONE ;High: 35 ;Low: -10 ;Values filtered: 0 ;Absolute sum: 0.0 ;Average/point: nan
Index:520 ;Name: ER13-HTC_FW_T_OUT ;Relation: NONE ;Value: NONE ;Var: NONE ;High: 90 ;Low: 60 ;Values filtered: 28 ;Absolute sum: 691.7216009775797 ;Average/point: 24.7043428921
Index:525 ;Name: ER13-LTC_FW_T_OUT ;Relation: NONE ;Value: NONE ;Var: NONE ;High: 45 ;Low: 25 ;Values filtered: 15 ;Absolute sum: 117.56502129236864 ;Average/point: 7.83766808616
Index:527 ;Name: ER24-HT_FW_T_OUT ;Relation: NONE ;Value: NONE ;Var: NONE ;High: 90 ;Low: 60 ;Values filtered: 75 ;Absolute sum: 711.670304552714 ;Average/point: 9.48893739404
Index:532 ;Name: ER24-LTC_FW_T_OUT ;Relation: NONE ;Value: NONE ;Var: NONE ;High: 45 ;Low: 25 ;Values filtered: 7 ;Absolute sum: 146.8003677368164 ;Average/point: 20.9714811053
Index:534 ;Name: ME1-CAC_AIR_P_OUT ;Relation: NONE ;Value: NONE ;Var: NONE ;High: 3.5 ;Low: 0.1 ;Values filtered: 24597 ;Absolute sum: 11562.986955381806 ;Average/point: 0.470097449095
Index:535 ;Name: ME1-CAC_AIR_T_OUT ;Relation: NONE ;Value: NONE ;Var: NONE ;High: 65 ;Low: 30 ;Values filtered: 3 ;Absolute sum: 120.5494499206543 ;Average/point: 40.1831499736
Index:536 ;Name: ME1-CAC_AIR_T_OUT-SETPOINT ;Relation: NONE ;Value: NONE ;Var: NONE ;High: 65 ;Low: 30 ;Values filtered: 3 ;Absolute sum: 150.0 ;Average/point: 50.0
Index:569 ;Name: ME1__RPM_ ;Relation: NONE ;Value: NONE ;Var: NONE ;High: 530 ;Low: 150 ;Values filtered: 24385 ;Absolute sum: 7280562.266103328 ;Average/point: 298.567244868
Index:577 ;Name: ME1-CYL_FUEL_T_IN ;Relation: NONE ;Value: NONE ;Var: NONE ;High: 120 ;Low: 20 ;Values filtered: 3 ;Absolute sum: 320.10990142822266 ;Average/point: 106.703300476
Index:579 ;Name: ME1__FRP_ ;Relation: NONE ;Value: NONE ;Var: NONE ;High: 100 ;Low: 0 ;Values filtered: 0 ;Absolute sum: 0.0 ;Average/point: nan
Index:581 ;Name: ME1-HT-JWC_FW_P_IN ;Relation: NONE ;Value: NONE ;Var: NONE ;High: 4 ;Low: 0.8 ;Values filtered: 48 ;Absolute sum: 61.028938598682466 ;Average/point: 1.27143622081
Index:583 ;Name: ME1-HT_FW_T_OUT ;Relation: NONE ;Value: NONE ;Var: NONE ;High: 95 ;Low: 70 ;Values filtered: 2649 ;Absolute sum: 8961.071766153978 ;Average/point: 3.38281304876
Index:586 ;Name: ME1-HT_FW_T_IN ;Relation: NONE ;Value: NONE ;Var: NONE ;High: 95 ;Low: 70 ;Values filtered: 1540 ;Absolute sum: 6254.669632530207 ;Average/point: 4.06147378736
Index:589 ;Name: ME1-LOC_OIL_P_IN ;Relation: NONE ;Value: NONE ;Var: NONE ;High: 5.5 ;Low: 1.4 ;Values filtered: 24170 ;Absolute sum: 60676.06991436553 ;Average/point: 2.51038766712
Index:591 ;Name: ME1-LOC_OIL_T_OUT ;Relation: NONE ;Value: NONE ;Var: NONE ;High: 70 ;Low: 40 ;Values filtered: 186 ;Absolute sum: 3120.597058804832 ;Average/point: 16.777403542
Index:594 ;Name: ME1-TC_OIL_P_IN ;Relation: NONE ;Value: NONE ;Var: NONE ;High: 5.5 ;Low: 1.4 ;Values filtered: 24182 ;Absolute sum: 60846.45322493973 ;Average/point: 2.5161877936
Index:595 ;Name: ME1-TC_OIL_T_OUT ;Relation: NONE ;Value: NONE ;Var: NONE ;High: 100 ;Low: 40 ;Values filtered: 68 ;Absolute sum: 682.3625991821287 ;Average/point: 10.0347441056
Index:596 ;Name: ME1-LT-CAC_FW_P_IN ;Relation: NONE ;Value: NONE ;Var: NONE ;High: 3.5 ;Low: 1 ;Values filtered: 23622 ;Absolute sum: 17028.366371631615 ;Average/point: 0.72086895147
Index:597 ;Name: ME1-LT_FW_T_IN ;Relation: NONE ;Value: NONE ;Var: NONE ;High: 45 ;Low: 30 ;Values filtered: 12921 ;Absolute sum: 61073.83618653588 ;Average/point: 4.7267112597
Index:615 ;Name: ME1-TC__RPM_ ;Relation: NONE ;Value: NONE ;Var: NONE ;High: 23000 ;Low: 5000 ;Values filtered: 24653 ;Absolute sum: 234033099.09722513 ;Average/point: 9493.08802569
Index:621 ;Name: ME1-TC_EG_T_IN ;Relation: NONE ;Value: NONE ;Var: NONE ;High: 600 ;Low: 200 ;Values filtered: 19724 ;Absolute sum: 4535811.697589215 ;Average/point: 229.964089312
Index:624 ;Name: ME1-TC_EG_T_OUT ;Relation: NONE ;Value: NONE ;Var: NONE ;High: 450 ;Low: 150 ;Values filtered: 19104 ;Absolute sum: 2977233.0282264003 ;Average/point: 155.843437407
Index:678 ;Name: ME2-CYL_FUEL_T_IN ;Relation: NONE ;Value: NONE ;Var: NONE ;High: 120 ;Low: 20 ;Values filtered: 3 ;Absolute sum: 318.2417678833008 ;Average/point: 106.080589294
Index:778 ;Name: ME3-CYL_FUEL_T_IN ;Relation: NONE ;Value: NONE ;Var: NONE ;High: 120 ;Low: 20 ;Values filtered: 3 ;Absolute sum: 321.92308044433594 ;Average/point: 107.307693481
Index:861 ;Name: ME4-CYL_FUEL_T_IN ;Relation: NONE ;Value: NONE ;Var: NONE ;High: 120 ;Low: 20 ;Values filtered: 23 ;Absolute sum: 337.18314768473306 ;Average/point: 14.6601368559
Index:919 ;Name: SHIP_SPEED_KNOT_ ;Relation: NONE ;Value: NONE ;Var: NONE ;High: 23 ;Low: 0 ;Values filtered: 0 ;Absolute sum: 0.0 ;Average/point: nan
