
Index:532 ;Relation: NONE  ;Value: NONE  ;Var: NONE ;High: 45 ;Low: 25 ;Values filtered: 13 ;Absolute sum: 190.00915870666503 ;Average/point: 14.6160891313
Index:534 ;Relation: NONE  ;Value: NONE  ;Var: NONE ;High: 3.5 ;Low: 0.1 ;Values filtered: 25700 ;Absolute sum: 12238.32006329472 ;Average/point: 0.476199224253
Index:535 ;Relation: NONE  ;Value: NONE  ;Var: NONE ;High: 65 ;Low: 30 ;Values filtered: 3 ;Absolute sum: 120.5494499206543 ;Average/point: 40.1831499736
Index:536 ;Relation: NONE  ;Value: NONE  ;Var: NONE ;High: 65 ;Low: 30 ;Values filtered: 3 ;Absolute sum: 150.0 ;Average/point: 50.0
Index:569 ;Relation: NONE  ;Value: NONE  ;Var: NONE ;High: 530 ;Low: 150 ;Values filtered: 25485 ;Absolute sum: 7679317.349354012 ;Average/point: 301.326951122
Index:577 ;Relation: NONE  ;Value: NONE  ;Var: NONE ;High: 120 ;Low: 20 ;Values filtered: 3 ;Absolute sum: 320.10990142822266 ;Average/point: 106.703300476
Index:579 ;Relation: NONE  ;Value: NONE  ;Var: NONE ;High: 100 ;Low: 0 ;Values filtered: 0 ;Absolute sum: 0.0 ;Average/point: nan
Index:581 ;Relation: NONE  ;Value: NONE  ;Var: NONE ;High: 4 ;Low: 0.8 ;Values filtered: 53 ;Absolute sum: 63.869475823392456 ;Average/point: 1.2050844495
Index:583 ;Relation: NONE  ;Value: NONE  ;Var: NONE ;High: 95 ;Low: 70 ;Values filtered: 2692 ;Absolute sum: 9135.628549448651 ;Average/point: 3.39362130366
Index:586 ;Relation: NONE  ;Value: NONE  ;Var: NONE ;High: 95 ;Low: 70 ;Values filtered: 1575 ;Absolute sum: 6374.131186739598 ;Average/point: 4.04706742015
Index:589 ;Relation: NONE  ;Value: NONE  ;Var: NONE ;High: 5.5 ;Low: 1.4 ;Values filtered: 25256 ;Absolute sum: 63282.83282129622 ;Average/point: 2.50565540154
Index:591 ;Relation: NONE  ;Value: NONE  ;Var: NONE ;High: 70 ;Low: 40 ;Values filtered: 186 ;Absolute sum: 3120.597058804832 ;Average/point: 16.777403542
Index:594 ;Relation: NONE  ;Value: NONE  ;Var: NONE ;High: 5.5 ;Low: 1.4 ;Values filtered: 25268 ;Absolute sum: 63430.75805456914 ;Average/point: 2.51031969505
Index:595 ;Relation: NONE  ;Value: NONE  ;Var: NONE ;High: 100 ;Low: 40 ;Values filtered: 68 ;Absolute sum: 682.3625991821287 ;Average/point: 10.0347441056
Index:596 ;Relation: NONE  ;Value: NONE  ;Var: NONE ;High: 3.5 ;Low: 1 ;Values filtered: 24703 ;Absolute sum: 17849.267597003727 ;Average/point: 0.72255465316
Index:597 ;Relation: NONE  ;Value: NONE  ;Var: NONE ;High: 45 ;Low: 30 ;Values filtered: 13749 ;Absolute sum: 65027.07423362705 ;Average/point: 4.72958573232
Index:615 ;Relation: NONE  ;Value: NONE  ;Var: NONE ;High: 23000 ;Low: 5000 ;Values filtered: 25758 ;Absolute sum: 246051300.6021722 ;Average/point: 9552.42257171
Index:621 ;Relation: NONE  ;Value: NONE  ;Var: NONE ;High: 600 ;Low: 200 ;Values filtered: 20603 ;Absolute sum: 4744514.836307517 ;Average/point: 230.282717872
Index:624 ;Relation: NONE  ;Value: NONE  ;Var: NONE ;High: 450 ;Low: 150 ;Values filtered: 19947 ;Absolute sum: 3107567.3834783533 ;Average/point: 155.791215896
Index:919 ;Relation: NONE  ;Value: NONE  ;Var: NONE ;High: 23 ;Low: 0 ;Values filtered: 0 ;Absolute sum: 0.0 ;Average/point: nan
